iter	Passed	Remaining
933	2185	154
934	2187	152
935	2190	149
936	2192	147
937	2195	145
938	2197	142
939	2200	140
940	2202	138
941	2205	135
942	2207	133
943	2209	131
944	2211	128
945	2213	126
946	2215	124
947	2217	121
948	2219	119
949	2221	116
950	2224	114
951	2227	112
952	2229	109
953	2232	107
954	2233	105
955	2236	102
956	2238	100
957	2240	98
958	2242	95
959	2245	93
960	2247	91
961	2250	88
962	2252	86
963	2254	84
964	2256	81
965	2258	79
966	2260	77
967	2263	74
968	2265	72
969	2267	70
970	2269	67
971	2272	65
972	2274	63
973	2277	60
974	2279	58
975	2281	56
976	2283	53
977	2285	51
978	2287	49
979	2290	46
980	2292	44
981	2295	42
982	2297	39
983	2299	37
984	2301	35
985	2304	32
986	2306	30
987	2308	28
988	2310	25
989	2313	23
990	2315	21
991	2318	18
992	2320	16
993	2322	14
994	2324	11
995	2327	9
996	2329	7
997	2332	4
998	2335	2
999	2338	0
